Q1_female.sql,0m5.444s,0m5.376s,0m5.395s,0m5.365s,0m5.295s,0m5.335s,0m5.475s,0m5.798s,0m5.583s,0m5.549s
Q1_male.sql,0m5.550s,0m5.473s,0m5.543s,0m5.530s,0m5.584s,0m5.492s,0m5.486s,0m5.593s,0m5.456s,0m5.529s
Q2_female.sql,0m2.442s,0m2.358s,0m2.368s,0m2.311s,0m2.351s,0m2.338s,0m2.373s,0m2.365s,0m2.371s,0m2.440s
Q2_male.sql,0m2.380s,0m2.374s,0m2.377s,0m2.339s,0m2.453s,0m2.314s,0m2.431s,0m2.346s,0m2.402s,0m2.330s
Q3_female.sql,0m6.252s,0m6.136s,0m6.013s,0m5.906s,0m6.177s,0m5.892s,0m5.926s,0m6.163s,0m5.979s,0m6.062s
Q3_male.sql,0m6.331s,0m6.168s,0m6.159s,0m6.114s,0m6.100s,0m6.118s,0m6.147s,0m6.007s,0m6.014s,0m6.048s
Q4_female.sql,0m2.351s,0m2.288s,0m2.291s,0m2.401s,0m2.350s,0m2.364s,0m2.309s,0m2.345s,0m2.360s,0m2.295s
Q4_male.sql,0m2.395s,0m2.272s,0m2.339s,0m2.282s,0m2.337s,0m2.385s,0m2.448s,0m2.360s,0m2.353s,0m2.337s
