Q1_female.sql,0m2.590s,0m2.611s,0m2.838s,0m2.648s,0m2.707s,0m2.777s,0m2.674s,0m2.776s,0m2.829s,0m2.803s
Q1_male.sql,0m2.756s,0m2.805s,0m2.704s,0m2.690s,0m2.780s,0m2.891s,0m2.774s,0m2.833s,0m2.820s,0m2.991s
Q2_female.sql,0m2.664s,0m2.662s,0m2.778s,0m2.835s,0m2.757s,0m2.785s,0m2.764s,0m2.668s,0m2.601s,0m2.716s
Q2_male.sql,0m2.822s,0m2.725s,0m2.731s,0m2.794s,0m2.717s,0m2.747s,0m2.670s,0m2.817s,0m2.818s,0m2.731s
Q3_female.sql,0m2.579s,0m2.799s,0m2.705s,0m2.668s,0m2.624s,0m2.581s,0m2.733s,0m2.677s,0m2.712s,0m2.775s
Q3_male.sql,0m2.729s,0m2.593s,0m2.681s,0m2.667s,0m2.704s,0m2.648s,0m2.630s,0m2.650s,0m2.655s,0m2.712s
Q4_female.sql,0m2.785s,0m2.833s,0m2.819s,0m2.726s,0m2.861s,0m2.874s,0m2.898s,0m2.796s,0m2.752s,0m2.783s
Q4_male.sql,0m2.739s,0m2.810s,0m2.775s,0m2.873s,0m2.918s,0m2.765s,0m2.757s,0m2.796s,0m2.822s,0m2.745s
