Q1_female.sql,0m8.523s,0m8.325s,0m8.414s,0m8.214s,0m8.137s,0m8.067s,0m8.283s,0m8.630s,0m8.170s,0m8.314s
Q1_male.sql,0m8.255s,0m8.196s,0m8.253s,0m8.189s,0m8.180s,0m8.363s,0m8.327s,0m8.159s,0m8.152s,0m8.255s
Q2_female.sql,0m6.352s,0m6.400s,0m6.255s,0m6.287s,0m6.276s,0m6.312s,0m6.300s,0m6.158s,0m6.153s,0m6.196s
Q2_male.sql,0m6.179s,0m6.234s,0m6.208s,0m6.205s,0m6.226s,0m6.221s,0m6.155s,0m6.154s,0m6.155s,0m6.180s
Q3_female.sql,0m7.229s,0m7.194s,0m7.378s,0m7.490s,0m7.466s,0m7.440s,0m7.247s,0m7.338s,0m7.423s,0m7.436s
Q3_male.sql,0m7.369s,0m7.410s,0m7.248s,0m7.374s,0m7.469s,0m7.221s,0m7.317s,0m7.173s,0m7.192s,0m7.325s
Q4_female.sql,0m6.026s,0m6.030s,0m6.148s,0m6.094s,0m6.005s,0m5.946s,0m6.098s,0m6.092s,0m6.080s,0m6.018s
Q4_male.sql,0m6.110s,0m6.007s,0m6.044s,0m6.041s,0m5.975s,0m6.094s,0m6.025s,0m6.111s,0m5.918s,0m6.105s
