Q1_female.sql,0m4.478s,0m4.492s,0m4.582s,0m4.534s,0m4.548s,0m4.539s,0m4.521s,0m4.526s,0m4.493s,0m4.543s
Q1_male.sql,0m4.458s,0m4.537s,0m4.537s,0m4.489s,0m4.565s,0m4.678s,0m4.501s,0m4.525s,0m4.476s,0m4.493s
Q2_female.sql,0m2.114s,0m2.194s,0m2.191s,0m2.176s,0m2.199s,0m2.201s,0m2.116s,0m2.222s,0m2.177s,0m2.190s
Q2_male.sql,0m2.196s,0m2.147s,0m2.198s,0m2.143s,0m2.182s,0m2.179s,0m2.173s,0m2.221s,0m2.204s,0m2.216s
Q3_female.sql,0m4.084s,0m4.128s,0m4.121s,0m3.976s,0m4.036s,0m4.087s,0m4.041s,0m4.036s,0m4.039s,0m4.083s
Q4_female.sql,0m2.170s,0m2.185s,0m2.134s,0m2.219s,0m2.170s,0m2.285s,0m2.130s,0m2.123s,0m2.146s,0m2.169s
