Q1_female.sql,0m6.704s,0m6.783s,0m6.761s,0m6.802s,0m6.930s,0m6.949s,0m6.989s,0m6.983s,0m6.889s,0m6.864s
Q1_male.sql,0m6.926s,0m6.999s,0m6.917s,0m7.009s,0m6.988s,0m6.987s,0m6.960s,0m6.928s,0m6.857s,0m6.996s
Q2_female.sql,0m4.555s,0m4.530s,0m4.554s,0m4.509s,0m4.579s,0m4.507s,0m4.557s,0m4.524s,0m4.633s,0m4.475s
Q2_male.sql,0m4.549s,0m4.528s,0m4.546s,0m4.580s,0m4.552s,0m4.612s,0m4.572s,0m4.596s,0m4.598s,0m4.640s
Q3_female.sql,0m6.600s,0m6.542s,0m6.528s,0m6.483s,0m6.550s,0m6.598s,0m6.524s,0m6.491s,0m6.485s,0m6.515s
Q3_male.sql,0m6.580s,0m6.644s,0m6.639s,0m6.656s,0m6.633s,0m6.607s,0m6.640s,0m6.729s,0m6.706s,0m6.633s
Q4_female.sql,0m5.641s,0m5.605s,0m5.538s,0m5.591s,0m5.554s,0m5.626s,0m5.696s,0m5.709s,0m5.630s,0m5.700s
Q4_male.sql,0m5.650s,0m5.670s,0m5.609s,0m5.688s,0m5.683s,0m5.569s,0m5.696s,0m5.624s,0m5.648s,0m5.696s
