Q1_female.sql,0m3.377s,0m3.512s,0m3.540s,0m3.619s,0m3.723s,0m3.670s,0m3.685s,0m3.800s,0m3.650s,0m3.596s
Q1_male.sql,0m3.887s,0m3.703s,0m3.665s,0m3.513s,0m3.654s,0m3.554s,0m3.661s,0m3.606s,0m3.612s,0m3.600s
Q2_female.sql,0m3.466s,0m3.439s,0m3.425s,0m3.373s,0m3.422s,0m3.490s,0m3.387s,0m3.385s,0m3.419s,0m3.359s
Q2_male.sql,0m3.467s,0m3.378s,0m3.395s,0m3.528s,0m3.476s,0m3.400s,0m3.385s,0m3.398s,0m3.479s,0m3.431s
Q3_female.sql,0m3.411s,0m3.432s,0m3.394s,0m3.357s,0m3.421s,0m3.464s,0m3.454s,0m3.413s,0m3.380s,0m3.434s
Q3_male.sql,0m3.450s,0m3.425s,0m3.406s,0m3.434s,0m3.463s,0m3.452s,0m3.482s,0m3.406s,0m3.399s,0m3.395s
Q4_female.sql,0m3.526s,0m3.494s,0m3.468s,0m3.507s,0m3.543s,0m3.510s,0m3.431s,0m3.463s,0m3.493s,0m3.430s
Q4_male.sql,0m3.512s,0m3.478s,0m3.522s,0m3.603s,0m3.568s,0m3.520s,0m3.553s,0m3.528s,0m3.470s,0m3.553s
