Q1_female.sql,0m5.763s,0m5.722s,0m5.834s,0m5.940s,0m5.764s,0m5.499s,0m5.434s,0m5.405s,0m5.416s,0m5.507s
Q1_male.sql,0m5.486s,0m5.444s,0m5.649s,0m5.894s,0m5.543s,0m5.640s,0m5.675s,0m5.689s,0m5.507s,0m5.598s
Q2_female.sql,0m3.613s,0m3.671s,0m3.612s,0m3.727s,0m3.682s,0m3.651s,0m3.752s,0m3.748s,0m3.767s,0m3.752s
Q2_male.sql,0m3.715s,0m3.673s,0m3.707s,0m3.797s,0m3.648s,0m3.774s,0m3.817s,0m3.660s,0m3.668s,0m3.628s
Q3_female.sql,0m5.484s,0m5.480s,0m5.384s,0m5.458s,0m5.202s,0m5.327s,0m5.399s,0m5.197s,0m5.344s,0m5.387s
Q3_male.sql,0m5.381s,0m5.523s,0m5.351s,0m5.291s,0m5.309s,0m5.328s,0m5.201s,0m5.193s,0m5.315s,0m5.359s
Q4_female.sql,0m4.563s,0m4.460s,0m4.486s,0m4.666s,0m4.617s,0m4.553s,0m4.505s,0m4.528s,0m4.570s,0m4.484s
Q4_male.sql,0m4.604s,0m4.590s,0m4.538s,0m4.517s,0m4.575s,0m4.466s,0m4.517s,0m4.548s,0m4.581s,0m4.482s
