Q1_female.sql,0m8.877s,0m8.906s,0m8.825s,0m8.937s,0m8.875s,0m8.812s,0m8.773s,0m8.792s,0m8.734s,0m8.737s
Q1_male.sql,0m8.801s,0m8.750s,0m8.804s,0m8.793s,0m8.738s,0m8.817s,0m8.775s,0m8.801s,0m8.793s,0m8.915s
Q2_female.sql,0m3.754s,0m3.807s,0m3.770s,0m3.767s,0m3.838s,0m3.770s,0m3.782s,0m3.727s,0m3.770s,0m3.754s
Q2_male.sql,0m3.828s,0m3.751s,0m3.808s,0m3.786s,0m3.778s,0m3.769s,0m3.715s,0m3.752s,0m3.760s,0m3.761s
Q3_female.sql,0m7.701s,0m7.897s,0m7.783s,0m8.332s,0m7.727s,0m7.764s,0m7.751s,0m7.627s,0m7.616s,0m7.827s
Q3_male.sql,0m7.742s,0m7.706s,0m7.733s,0m7.743s,0m7.758s,0m7.815s,0m7.743s,0m7.695s,0m7.741s,0m7.743s
Q4_female.sql,0m3.785s,0m3.784s,0m3.765s,0m3.729s,0m3.766s,0m3.774s,0m3.799s,0m3.702s,0m3.723s,0m3.747s
Q4_male.sql,0m3.766s,0m3.741s,0m3.734s,0m3.725s,0m3.722s,0m3.811s,0m3.742s,0m3.738s,0m3.770s,0m3.752s
