Q1_female.sql,0m5.848s,0m5.712s,0m5.700s,0m5.762s,0m5.718s,0m5.687s,0m5.675s,0m5.677s,0m5.900s,0m5.776s
Q1_male.sql,0m5.955s,0m5.787s,0m5.724s,0m5.856s,0m5.746s,0m5.761s,0m6.518s,0m6.140s,0m5.924s,0m5.732s
Q2_female.sql,0m4.514s,0m4.579s,0m4.351s,0m4.387s,0m4.415s,0m4.434s,0m4.436s,0m4.362s,0m4.481s,0m4.361s
Q2_male.sql,0m4.505s,0m4.569s,0m4.470s,0m4.428s,0m4.327s,0m4.526s,0m4.435s,0m4.407s,0m4.508s,0m4.460s
Q3_female.sql,0m6.779s,0m6.737s,0m6.712s,0m6.563s,0m6.625s,0m6.725s,0m6.666s,0m6.404s,0m6.405s,0m7.032s
Q3_male.sql,0m7.104s,0m6.861s,0m6.958s,0m6.893s,0m6.925s,0m6.816s,0m6.790s,0m6.777s,0m6.729s,0m6.952s
Q4_female.sql,0m5.051s,0m5.068s,0m5.043s,0m4.934s,0m4.982s,0m4.955s,0m4.928s,0m4.899s,0m4.883s,0m4.796s
Q4_male.sql,0m4.786s,0m4.922s,0m4.891s,0m4.853s,0m4.956s,0m4.998s,0m4.977s,0m5.001s,0m4.897s,0m4.851s
