Q1_female.sql,0m3.049s,0m3.026s,0m2.951s,0m2.938s,0m2.977s,0m2.964s,0m2.932s,0m2.953s,0m2.960s,0m2.983s
Q1_male.sql,0m2.952s,0m3.009s,0m2.916s,0m2.877s,0m2.942s,0m2.930s,0m2.856s,0m2.924s,0m2.957s,0m2.934s
Q2_female.sql,0m2.015s,0m2.068s,0m2.052s,0m2.034s,0m2.036s,0m2.068s,0m2.096s,0m2.098s,0m2.033s,0m2.050s
Q2_male.sql,0m2.051s,0m2.036s,0m2.054s,0m2.087s,0m2.062s,0m2.105s,0m2.058s,0m2.110s,0m2.115s,0m2.076s
Q3_female.sql,0m2.941s,0m2.912s,0m2.893s,0m2.971s,0m2.899s,0m2.854s,0m2.924s,0m2.844s,0m2.848s,0m2.909s
Q3_male.sql,0m2.892s,0m2.851s,0m2.905s,0m2.956s,0m2.912s,0m2.864s,0m2.929s,0m2.842s,0m2.931s,0m2.870s
Q4_female.sql,0m2.632s,0m2.578s,0m2.619s,0m2.593s,0m2.652s,0m2.604s,0m2.604s,0m2.589s,0m2.519s,0m2.548s
Q4_male.sql,0m2.538s,0m2.576s,0m2.607s,0m2.565s,0m2.590s,0m2.560s,0m2.555s,0m2.562s,0m2.555s,0m2.582s
