Q1_female.sql,0m5.309s,0m4.610s,0m4.560s,0m4.567s,0m4.667s,0m4.568s,0m4.619s,0m4.633s,0m4.627s,0m4.548s
Q1_male.sql,0m4.567s,0m4.587s,0m4.636s,0m4.672s,0m4.586s,0m4.569s,0m4.545s,0m4.596s,0m4.550s,0m4.605s
Q2_female.sql,0m3.973s,0m3.964s,0m3.895s,0m3.948s,0m3.895s,0m3.906s,0m3.912s,0m3.880s,0m3.933s,0m3.930s
Q2_male.sql,0m4.009s,0m3.923s,0m3.951s,0m3.892s,0m3.909s,0m3.893s,0m3.897s,0m3.869s,0m3.951s,0m4.033s
Q3_female.sql,0m4.007s,0m4.077s,0m4.010s,0m4.017s,0m4.015s,0m4.048s,0m4.018s,0m4.013s,0m4.029s,0m4.039s
Q3_male.sql,0m4.042s,0m4.026s,0m4.010s,0m4.039s,0m4.094s,0m4.088s,0m4.079s,0m4.087s,0m4.058s,0m4.114s
Q4_female.sql,0m3.632s,0m3.626s,0m3.712s,0m3.688s,0m3.699s,0m3.780s,0m3.834s,0m3.676s,0m3.695s,0m3.666s
Q4_male.sql,0m3.615s,0m3.630s,0m3.620s,0m3.609s,0m3.657s,0m3.655s,0m3.574s,0m3.653s,0m3.656s,0m3.610s
