Q1_female.sql,0m3.838s,0m3.644s,0m3.767s,0m3.787s,0m3.676s,0m3.784s,0m3.643s,0m3.665s,0m3.692s,0m3.736s
Q1_male.sql,0m3.819s,0m3.862s,0m3.822s,0m3.806s,0m3.822s,0m3.907s,0m3.906s,0m3.835s,0m3.814s,0m3.798s
Q2_female.sql,0m2.733s,0m2.644s,0m2.600s,0m2.621s,0m2.623s,0m2.588s,0m2.582s,0m2.626s,0m2.650s,0m2.675s
Q2_male.sql,0m2.623s,0m2.661s,0m2.756s,0m2.627s,0m2.640s,0m2.637s,0m2.740s,0m2.575s,0m2.646s,0m2.591s
Q3_female.sql,0m3.645s,0m3.679s,0m3.614s,0m3.625s,0m3.643s,0m3.643s,0m3.636s,0m3.619s,0m3.632s,0m3.552s
Q3_male.sql,0m3.663s,0m3.580s,0m3.600s,0m3.596s,0m3.589s,0m3.608s,0m3.612s,0m3.617s,0m3.635s,0m3.608s
Q4_female.sql,0m3.272s,0m3.184s,0m3.149s,0m3.159s,0m3.184s,0m3.180s,0m3.156s,0m3.107s,0m3.135s,0m3.126s
Q4_male.sql,0m3.217s,0m3.184s,0m3.179s,0m3.167s,0m3.206s,0m3.204s,0m3.174s,0m3.206s,0m3.165s,0m3.172s
