Q1_female.sql,0m7.164s,0m5.717s,0m5.716s,0m5.823s,0m5.817s,0m5.765s,0m5.824s,0m5.768s,0m5.829s,0m5.690s
Q1_male.sql,0m5.762s,0m5.671s,0m5.680s,0m5.695s,0m5.693s,0m5.708s,0m5.631s,0m5.715s,0m5.681s,0m5.679s
Q2_female.sql,0m3.877s,0m3.777s,0m3.882s,0m3.830s,0m3.770s,0m3.781s,0m3.866s,0m4.011s,0m3.863s,0m3.854s
Q2_male.sql,0m3.875s,0m3.882s,0m3.877s,0m3.932s,0m3.844s,0m3.876s,0m3.858s,0m3.889s,0m3.858s,0m3.858s
Q3_female.sql,0m5.566s,0m5.472s,0m5.515s,0m5.630s,0m5.684s,0m5.466s,0m5.608s,0m5.559s,0m5.621s,0m5.530s
Q3_male.sql,0m5.548s,0m5.595s,0m5.550s,0m5.528s,0m5.542s,0m5.569s,0m5.625s,0m5.603s,0m5.511s,0m5.597s
Q4_female.sql,0m4.952s,0m4.814s,0m4.866s,0m4.769s,0m4.811s,0m4.795s,0m4.880s,0m4.917s,0m4.891s,0m4.868s
Q4_male.sql,0m4.935s,0m4.821s,0m4.806s,0m4.863s,0m4.822s,0m4.849s,0m4.828s,0m4.787s,0m4.836s,0m4.869s
