Q1_female.sql,0m10.294s,0m10.317s,0m10.274s,0m10.208s,0m10.189s,0m10.290s,0m10.284s,0m10.270s,0m10.275s,0m10.304s
Q1_male.sql,0m10.376s,0m10.292s,0m10.233s,0m10.203s,0m10.351s,0m10.393s,0m10.362s,0m10.350s,0m10.323s,0m10.351s
Q2_female.sql,0m4.017s,0m3.916s,0m4.032s,0m3.983s,0m3.988s,0m3.926s,0m3.951s,0m3.878s,0m3.939s,0m3.994s
Q2_male.sql,0m4.006s,0m3.968s,0m3.880s,0m4.326s,0m3.964s,0m3.931s,0m3.943s,0m4.006s,0m4.069s,0m3.978s
Q3_female.sql,0m11.151s,0m11.068s,0m11.096s,0m11.127s,0m11.069s,0m11.067s,0m11.041s,0m11.130s,0m11.143s,0m10.926s
Q3_male.sql,0m11.030s,0m11.178s,0m11.109s,0m11.137s,0m11.092s,0m11.121s,0m11.118s,0m11.130s,0m11.129s,0m11.252s
Q4_female.sql,0m3.901s,0m3.897s,0m3.915s,0m3.905s,0m3.895s,0m3.928s,0m3.890s,0m3.885s,0m3.895s,0m3.920s
Q4_male.sql,0m3.934s,0m3.905s,0m3.952s,0m3.899s,0m3.968s,0m3.921s,0m3.911s,0m3.888s,0m3.933s,0m3.972s
